,Date.x,state,Confirmed,Deaths,Recovered,lat,long
93,6/03/2020,Moscow,5,0,0,55.753215,37.622504
94,6/03/2020,Moscow,5,0,0,55.753215,37.622504
95,6/03/2020,Moscow,5,0,0,55.753215,37.622504
96,6/03/2020,Moscow,5,0,0,55.753215,37.622504
97,6/03/2020,Moscow,5,0,0,55.753215,37.622504
98,6/03/2020,Moscow,5,0,0,55.753215,37.622504
99,6/03/2020,Moscow,5,0,0,55.753215,37.622504
100,6/03/2020,Moscow,5,0,0,55.753215,37.622504
101,6/03/2020,Moscow,5,0,0,55.753215,37.622504
102,6/03/2020,Moscow,5,0,0,55.753215,37.622504
103,6/03/2020,Moscow,5,0,0,55.753215,37.622504
104,6/03/2020,Moscow,5,0,0,55.753215,37.622504
105,6/03/2020,Moscow,5,0,0,55.753215,37.622504
106,6/03/2020,Moscow,5,0,0,55.753215,37.622504
107,6/03/2020,Moscow,5,0,0,55.753215,37.622504
108,6/03/2020,Moscow,5,0,0,55.753215,37.622504
109,6/03/2020,Moscow,5,0,0,55.753215,37.622504
110,6/03/2020,Moscow,5,0,0,55.753215,37.622504
111,6/03/2020,Moscow,5,0,0,55.753215,37.622504
112,6/03/2020,Moscow,5,0,0,55.753215,37.622504
113,6/03/2020,Moscow,5,0,0,55.753215,37.622504
114,6/03/2020,Moscow,5,0,0,55.753215,37.622504
115,6/03/2020,Moscow,5,0,0,55.753215,37.622504
116,6/03/2020,Moscow,5,0,0,55.753215,37.622504
117,6/03/2020,Moscow,5,0,0,55.753215,37.622504
118,6/03/2020,Moscow,5,0,0,55.753215,37.622504
119,6/03/2020,Moscow,1,0,0,55.753215,37.622504
120,6/03/2020,Nizhny Novgorod Region,1,0,0,56.296505,43.936058
121,7/03/2020,Lipetsk region,3,0,0,52.60311,39.57076
122,7/03/2020,Moscow,5,0,0,55.753215,37.622504
123,7/03/2020,Moscow,5,0,0,55.753215,37.622504
124,7/03/2020,Moscow,5,0,0,55.753215,37.622504
125,7/03/2020,Moscow,5,0,0,55.753215,37.622504
126,7/03/2020,Moscow,5,0,0,55.753215,37.622504
127,7/03/2020,Moscow,5,0,0,55.753215,37.622504
128,7/03/2020,Moscow,5,0,0,55.753215,37.622504
129,7/03/2020,Moscow,5,0,0,55.753215,37.622504
130,7/03/2020,Moscow,5,0,0,55.753215,37.622504
131,7/03/2020,Moscow,5,0,0,55.753215,37.622504
132,7/03/2020,Moscow,5,0,0,55.753215,37.622504
133,7/03/2020,Moscow,5,0,0,55.753215,37.622504
134,7/03/2020,Moscow,5,0,0,55.753215,37.622504
135,7/03/2020,Moscow,5,0,0,55.753215,37.622504
136,7/03/2020,Moscow,5,0,0,55.753215,37.622504
137,7/03/2020,Moscow,5,0,0,55.753215,37.622504
138,7/03/2020,Moscow,5,0,0,55.753215,37.622504
139,7/03/2020,Moscow,5,0,0,55.753215,37.622504
140,7/03/2020,Moscow,5,0,0,55.753215,37.622504
141,7/03/2020,Moscow,5,0,0,55.753215,37.622504
142,7/03/2020,Moscow,5,0,0,55.753215,37.622504
143,7/03/2020,Moscow,5,0,0,55.753215,37.622504
144,7/03/2020,Moscow,5,0,0,55.753215,37.622504
145,7/03/2020,Moscow,5,0,0,55.753215,37.622504
146,7/03/2020,Moscow,5,0,0,55.753215,37.622504
147,7/03/2020,Moscow,5,0,0,55.753215,37.622504
148,7/03/2020,Moscow,5,0,0,55.753215,37.622504
149,7/03/2020,Moscow,5,0,0,55.753215,37.622504
150,7/03/2020,Moscow,5,0,0,55.753215,37.622504
151,7/03/2020,Moscow,5,0,0,55.753215,37.622504
152,7/03/2020,Moscow,5,0,0,55.753215,37.622504
153,7/03/2020,Moscow,5,0,0,55.753215,37.622504
154,7/03/2020,Moscow,5,0,0,55.753215,37.622504
155,7/03/2020,Moscow,5,0,0,55.753215,37.622504
156,7/03/2020,Moscow,5,0,0,55.753215,37.622504
157,7/03/2020,Moscow,5,0,0,55.753215,37.622504
158,7/03/2020,Moscow,5,0,0,55.753215,37.622504
159,7/03/2020,Moscow,5,0,0,55.753215,37.622504
160,7/03/2020,Moscow,5,0,0,55.753215,37.622504
161,7/03/2020,Moscow,5,0,0,55.753215,37.622504
162,7/03/2020,Moscow,5,0,0,55.753215,37.622504
163,7/03/2020,Moscow,5,0,0,55.753215,37.622504
164,7/03/2020,Moscow,5,0,0,55.753215,37.622504
165,7/03/2020,Moscow,5,0,0,55.753215,37.622504
166,7/03/2020,Moscow,5,0,0,55.753215,37.622504
167,7/03/2020,Moscow,5,0,0,55.753215,37.622504
168,7/03/2020,Moscow,5,0,0,55.753215,37.622504
169,7/03/2020,Moscow,5,0,0,55.753215,37.622504
170,7/03/2020,Moscow,5,0,0,55.753215,37.622504
171,7/03/2020,Moscow,5,0,0,55.753215,37.622504
172,7/03/2020,Moscow,5,0,0,55.753215,37.622504
173,7/03/2020,Moscow,5,0,0,55.753215,37.622504
174,7/03/2020,Moscow,5,0,0,55.753215,37.622504
175,7/03/2020,Moscow,5,0,0,55.753215,37.622504
176,7/03/2020,Moscow,5,0,0,55.753215,37.622504
177,7/03/2020,Moscow,5,0,0,55.753215,37.622504
178,7/03/2020,Moscow,5,0,0,55.753215,37.622504
179,7/03/2020,Moscow,5,0,0,55.753215,37.622504
180,7/03/2020,Moscow,5,0,0,55.753215,37.622504
181,7/03/2020,Moscow,5,0,0,55.753215,37.622504
182,7/03/2020,Moscow,5,0,0,55.753215,37.622504
183,7/03/2020,Moscow,5,0,0,55.753215,37.622504
184,7/03/2020,Moscow,5,0,0,55.753215,37.622504
185,7/03/2020,Moscow,5,0,0,55.753215,37.622504
186,7/03/2020,Moscow,5,0,0,55.753215,37.622504
187,7/03/2020,Moscow,5,0,0,55.753215,37.622504
188,7/03/2020,Moscow,5,0,0,55.753215,37.622504
189,7/03/2020,Moscow,5,0,0,55.753215,37.622504
190,7/03/2020,Moscow,5,0,0,55.753215,37.622504
191,7/03/2020,Moscow,5,0,0,55.753215,37.622504
192,7/03/2020,Moscow,5,0,0,55.753215,37.622504
193,7/03/2020,Moscow,5,0,0,55.753215,37.622504
194,7/03/2020,Moscow,5,0,0,55.753215,37.622504
195,7/03/2020,Moscow,5,0,0,55.753215,37.622504
196,7/03/2020,Moscow,5,0,0,55.753215,37.622504
197,7/03/2020,Moscow,5,0,0,55.753215,37.622504
198,7/03/2020,Moscow,5,0,0,55.753215,37.622504
199,7/03/2020,Moscow,5,0,0,55.753215,37.622504
200,7/03/2020,Moscow,5,0,0,55.753215,37.622504
201,7/03/2020,Moscow,5,0,0,55.753215,37.622504
202,7/03/2020,Moscow,5,0,0,55.753215,37.622504
203,7/03/2020,Moscow,5,0,0,55.753215,37.622504
204,7/03/2020,Moscow,5,0,0,55.753215,37.622504
205,7/03/2020,Moscow,5,0,0,55.753215,37.622504
206,7/03/2020,Moscow,5,0,0,55.753215,37.622504
207,7/03/2020,Moscow,5,0,0,55.753215,37.622504
208,7/03/2020,Moscow,5,0,0,55.753215,37.622504
209,7/03/2020,Moscow,5,0,0,55.753215,37.622504
210,7/03/2020,Moscow,5,0,0,55.753215,37.622504
211,7/03/2020,Moscow,5,0,0,55.753215,37.622504
